Numero Ticket;Fecha programada;Fecha generacion;Fecha cierre;Estado;Agencia;Service Desk;Tipo Ticket;Proveedor;Costo;Numero OS
WO0000004852903;;02/01/2020;04/01/2020;CERRADO;COLLIQUE - 191065;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004853156;;02/01/2020;15/01/2020;CERRADO;COLLIQUE - 191065;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004853157;;02/01/2020;04/01/2020;CERRADO;COLLIQUE - 191065;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004853158;;02/01/2020;06/01/2020;CERRADO;COLLIQUE - 191065;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004853160;;02/01/2020;04/01/2020;CERRADO;COLLIQUE - 191065;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004852942;;02/01/2020;02/01/2020;CERRADO;SAN JUAN DE LURIGANCHO - 191017;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004853311;;02/01/2020;10/01/2020;CERRADO;TUPAC AMARU - 191038;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004859730;;03/01/2020;06/01/2020;CERRADO;EL SOL - 191082;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004859732;;03/01/2020;06/01/2020;CERRADO;EL SOL - 191082;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004859743;;03/01/2020;06/01/2020;CERRADO;EL SOL - 191082;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004859761;;03/01/2020;06/01/2020;CERRADO;EL SOL - 191082;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004862104;;04/01/2020;07/01/2020;CERRADO;C.C. MULTIPLAZA - 191077;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004862438;;04/01/2020;07/01/2020;CERRADO;CHIMPU OCLLO - 191113;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004862807;;04/01/2020;16/01/2020;CERRADO;PLAZA LIMA NORTE - 191058;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004862809;;04/01/2020;25/01/2020;CERRADO;PLAZA LIMA NORTE - 191058;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004862492;;04/01/2020;08/01/2020;CERRADO;PROCERES - 191120;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004864555;;06/01/2020;14/01/2020;CERRADO;METRO AV. WIESSE - 191106;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004864474;;06/01/2020;09/01/2020;CERRADO;SANTA LUZMILA - 191063;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004872573;;07/01/2020;09/01/2020;CERRADO;EL PINO - 191087;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004872179;;07/01/2020;23/01/2020;CERRADO;NACIONES UNIDAS - 191084;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004872196;;07/01/2020;10/01/2020;CERRADO;ROSA TORO - 193022;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004871023;;07/01/2020;08/01/2020;CERRADO;URB SAN FELIPE COMAS - 191053;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004874002;;08/01/2020;10/01/2020;CERRADO;CHIMPU OCLLO - 191113;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004875079;;08/01/2020;10/01/2020;CERRADO;IZAGUIRRE - 191154;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004877271;;08/01/2020;;CERRADO;MENDIOLA - 191078;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004877275;;08/01/2020;10/01/2020;CERRADO;MENDIOLA - 191078;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004877276;;08/01/2020;10/01/2020;CERRADO;MENDIOLA - 191078;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004877281;;08/01/2020;10/01/2020;CERRADO;MENDIOLA - 191078;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004875587;;08/01/2020;10/01/2020;CERRADO;MUNICIPALIDAD INDEPENDENCIA;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004875589;;08/01/2020;10/01/2020;CERRADO;MUNICIPALIDAD INDEPENDENCIA;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
WO0000004876952;;08/01/2020;10/01/2020;CERRADO;NARANJAL - 191141;Service Desk B;VARIABLE;CECHRIZA S.A.C.;;
